VipId,CurrentGradeId,GradeMoney,TargetGradeId
258280,50002,613.0,50002
503456,50002,1141.5,50002
1660000,50003,1744.14,50003
11021264,50002,1110.0,50002
11412344,50002,666.0,50002
37475440,50002,822.75,50002
37476440,50002,637.05,50002
37477368,50002,678.25,50002
37477848,50002,699.0,50002
37478352,50002,688.0,50002
37481296,50002,619.5,50002
37492528,50002,626.0,50002
37497744,50002,647.0,50002
37514264,50002,767.0,50002
37517848,50002,826.0,50002
37519128,50002,647.75,50002
37521488,50002,690.61,50002
3180313,50002,687.0,50002
8669417,50002,922.95,50002
15622369,50002,726.0,50002
37477313,50002,677.75,50002
37477585,50002,717.0,50002
37477697,50002,627.0,50002
37478225,50002,751.0,50002
37481385,50002,657.0,50002
37483937,50002,718.0,50002
37483945,50002,687.0,50002
37489657,50002,631.63,50002
3188514,50001,683.0,50002
4648242,50002,798.0,50002
37478386,50003,1761.9,50003
37478842,50002,707.0,50002
37483962,50002,848.0,50002
37486274,50002,1079.7,50002
37489434,50002,647.55,50002
37494434,50002,606.0,50002
37497418,50002,713.75,50002
37505474,50002,622.0,50002
37603210,50002,1084.5,50002
37903562,50002,709.4,50002
540563,50002,737.9,50002
2167355,50002,964.0,50002
14013475,50002,753.65,50002
37476507,50002,835.0,50002
37477707,50002,1105.0,50002
37477819,50002,635.0,50002
37478019,50002,737.76,50002
37478483,50002,624.0,50002
37479395,50002,688.89,50002
37487571,50002,698.5,50002
37496403,50002,632.72,50002
37496523,50002,886.0,50002
37516403,50002,894.25,50002
37517779,50002,647.75,50002
37678643,50003,1503.5,50003
2320316,50003,1875.2,50003
2320892,50002,758.31,50002
3687732,50002,659.21,50002
5298964,50002,630.3,50002
19124396,50002,798.5,50002
37478484,50002,695.0,50002
37478828,50002,657.0,50002
37481420,50002,688.0,50002
37484012,50001,865.74,50002
37484020,50002,919.0,50002
37489604,50002,733.0,50002
37497500,50002,621.25,50002
37509188,50002,682.99,50002
37643172,50002,771.6,50002
37720708,50002,779.15,50002
37476805,50002,818.5,50002
37477965,50002,641.0,50002
37496317,50002,1098.25,50002
37517693,50002,798.75,50002
37520085,50002,637.97,50002
37609141,50002,645.0,50002
1418222,50002,830.33,50002
14707518,50002,1259.0,50002
20171910,50002,2243.5,50003
37475182,50002,602.0,50002
37477286,50002,689.0,50002
37477686,50002,919.78,50002
37477702,50002,673.0,50002
37478102,50002,827.78,50002
37478198,50002,684.0,50002
37478230,50002,777.0,50002
37481406,50002,878.0,50002
37494438,50002,690.0,50002
37501318,50002,720.0,50002
37521486,50002,1075.65,50002
647687,50002,742.0,50002
12295103,50003,1931.05,50003
37459503,50002,726.35,50002
37476399,50002,764.25,50002
37481335,50002,1419.67,50002
37481479,50002,733.5,50002
37494399,50002,782.45,50002
37494519,50002,697.97,50002
37495415,50001,626.6,50002
37501311,50002,1024.0,50002
37512711,50002,696.0,50002
37517687,50002,768.0,50002
37520095,50001,627.68,50002
37562375,50001,1113.2,50002
37711727,50002,907.2,50002
